F1,F2,Label
14247_37,14213_8,0
14247_36,14213_9,0
14895_9,14605_1,0
40179_29,40223_15,0
40557_5,40576_2,0
40183_58,40466_16,0
40162_58,40168_28,0
40160_58,40183_21,0
40168_29,40181_21,0
40181_29,40344_14,0
40165_29,40161_41,0
40163_58,40171_37,0
40181_58,40146_19,0
40147_58,40183_6,0
40182_29,40165_38,0
40412_0,40183_36,0
40191_10,40178_18,0
40177_58,40179_41,0
40164_29,40183_38,0
40171_29,40175_41,0
40067_2,40724_4,0
40167_29,40180_38,0
40180_58,40169_50,0
40176_29,40178_30,0
40175_58,40171_30,0
40172_58,40176_30,0
40178_29,40176_30,0
40167_58,40163_30,0
40148_58,40166_11,0
40147_29,40163_11,0
40163_29,40147_11,0
40169_58,40147_10,0
40536_5,40164_10,0
40150_29,40167_42,0
40182_58,40145_18,0
40171_58,40139_16,0
40166_29,40249_5,0
40175_29,40241_8,0
40172_29,40155_2,0
14895_8,14605_0,0
14895_11,14733_26,0
40522_10,40073_1,0
40149_58,40019_4,0
40161_29,40522_9,0
246_59,430_7,0
40148_32,40215_0,0
14279_3,14440_7,0
14672_33,14804_10,0
14052_32,14480_6,0
14875_26,14319_5,0
1345_6,1294_16,0
1052_6,1981_8,0
1256_0,1489_25,0
1052_7,1391_12,0
14209_37,14938_5,0
246_6,217_34,0
1001_3,1742_5,0
338_10,444_25,0
1633_3,1170_5,0
40012_3,40168_1,0
40014_3,40248_5,0
40074_1,40055_6,0
40073_1,40711_0,0
40014_0,40160_45,0
40014_1,40637_0,0
40101_2,40120_5,0
40067_1,40341_4,0
40039_0,40018_7,0
40168_32,40249_6,0
40181_32,40569_1,0
40165_32,40175_52,0
40160_32,40176_35,0
40150_32,40150_33,0
40164_32,40183_23,0
40177_32,40466_8,0
40171_32,40168_10,0
40163_32,40169_43,0
40161_32,40382_2,0
40176_32,40388_1,0
40146_32,40166_62,0
40166_32,40175_61,0
40167_70,40180_61,0
40174_32,40167_61,0
40147_32,40341_26,0
40172_32,40344_16,0
40239_5,40182_51,0
468_15,294_3,0
14990_14,14938_10,0
136_67,581_18,0
14150_1,14025_14,0
14176_1,14580_16,0
1762_0,1021_6,0
1885_0,1550_5,0
223_0,378_5,0
144_15,189_25,0
14416_8,14608_0,0
1889_8,1101_15,0
265_6,162_4,0
531_4,272_2,0
175_0,636_6,0
237_0,589_11,0
399_5,375_10,0
1293_0,1824_4,0
1608_0,1031_4,0
1442_0,1461_10,0
